Type,Calories,Cal_Fat,Tot_Fat,Sat_Fat,Chol,Sodium,Carbs,Fiber,Sugars,Protein
Breakfast,440,220,24,8,245,1250,36,1,3,19
Breakfast,450,180,21,7,245,1260,46,1,16,20
Breakfast,730,410,46,14,465,1460,53,3,2,27
Breakfast,240,100,11,2,0,680,31,1,2,4
Breakfast,1220,540,60,17,480,1900,136,4,42,33
Breakfast,590,210,24,7,55,660,86,4,36,9
Breakfast,290,100,11,4,235,850,30,2,2,17
Breakfast,150,15,2,1,0,260,27,2,2,5
Breakfast,35,0,0,0,0,0,9,0,9,0
Breakfast,140,70,8,1,0,290,15,2,0,1
Breakfast,600,160,17,4,20,620,102,2,45,9
Breakfast,770,300,33,9,50,930,104,2,45,15
Breakfast,410,240,26,8,30,990,34,1,2,10
Breakfast,500,290,32,10,250,1080,36,1,2,18
Breakfast,300,140,16,6,175,760,26,1,3,13
Breakfast,560,280,32,11,260,1290,48,1,16,21
Breakfast,420,200,22,7,30,990,44,1,15,11
Breakfast,370,190,21,9,45,790,31,2,2,14
Breakfast,450,240,26,10,260,930,31,2,2,20
Breakfast,170,140,15,6,30,310,2,0,0,7
Breakfast,180,100,11,4,435,180,5,0,0,15
Breakfast,35,0,0,0,0,0,9,0,9,0
Breakfast,420,160,18,4,60,400,57,2,26,8
Sauce,45,0,0,0,0,260,11,0,10,0
Chicken,420,220,24,5,60,1120,26,0,0,25
Chicken,840,440,49,11,125,2240,51,0,0,50
Chicken,170,90,10,2,25,450,10,0,0,10
Chicken,250,130,15,3,35,670,15,0,0,15
Chicken,1270,590,66,12,180,3100,92,0,0,77
Chicken,380,180,20,3,55,930,28,0,0,23
Chicken,630,300,33,6,90,1550,46,0,0,39
Sauce,70,0,0,0,0,260,16,0,14,0
Sauce,200,190,21,3,10,300,3,0,1,0
Sauce,50,0,0,0,0,0,12,0,11,0
Sauce,50,15,2,0,0,260,9,1,6,1
Sauce,60,60,6,1,0,910,1,0,0,0
Sauce,50,0,0,0,0,160,11,0,10,0
Sauce,70,20,2,0,0,160,13,1,9,1
Dessert,35,0,0,0,0,0,8,0,6,0
Dessert,100,5,1,0,5,35,22,0,15,0
Dessert,250,100,11,3,0,150,34,2,13,2
Dessert,160,60,7,2,10,95,22,0,14,2
Dessert,440,90,10,6,40,190,76,0,63,10
Dessert,580,120,14,8,50,250,102,0,84,13
Dessert,770,160,18,11,70,330,134,1,111,18
Dessert,1160,240,27,16,100,510,203,2,168,27
Dessert,160,20,2,1,5,85,31,0,21,4
Dessert,130,15,2,1,5,55,25,0,19,4
Dessert,340,70,7,4,30,140,62,0,43,7
Dessert,330,80,9,6,25,170,55,0,48,8
Dessert,45,10,1,0,5,20,8,0,6,1
Dessert,70,5,1,0,5,35,14,0,9,0
Dessert,270,100,11,6,35,170,39,1,19,3
Dessert,250,70,8,2,0,270,42,0,14,4
Dessert,620,180,20,12,55,190,96,0,85,14
Dessert,560,150,16,9,50,250,88,0,71,14
Dessert,140,45,5,1,10,125,22,1,12,2
Dessert,45,30,3,0,0,0,2,1,0,2
Dessert,280,50,6,3,25,85,51,0,45,6
Dessert,420,90,10,6,40,130,73,0,63,10
Dessert,560,120,13,8,50,170,97,0,84,13
Dessert,740,160,18,11,70,230,128,0,111,17
Dessert,1110,240,26,16,100,350,194,0,168,25
Dessert,150,50,6,1,5,115,22,0,11,2
Dessert,150,35,3,2,15,60,24,0,18,4
Dessert,420,90,10,6,40,140,72,0,54,9
Dessert,550,120,13,8,50,190,96,0,72,13
Dessert,740,160,18,11,70,250,128,0,96,17
Dessert,1110,240,26,16,100,370,193,0,145,25
Sauce,10,0,0,0,0,100,3,0,2,0
Fries,520,220,25,5,0,330,70,7,0,6
Fries,350,150,16,3,0,220,47,5,0,4
Fries,0,0,0,0,0,270,0,0,0,0
Fries,230,100,11,2,0,140,30,3,0,2
Salad,130,60,7,3,25,290,9,3,4,9
Salad,350,150,17,5,65,1030,23,3,4,27
Salad,250,80,9,4,85,950,12,3,4,31
Salad,60,10,1,0,0,160,10,0,1,2
Salad,90,35,4,2,10,180,8,3,4,7
Salad,310,120,14,4,50,910,23,3,4,25
Salad,210,60,6,3,70,830,11,3,4,28
Salad,150,80,9,4,85,410,8,3,4,11
Salad,370,170,18,6,125,1150,23,3,4,29
Salad,270,100,11,5,145,1060,11,3,5,33
Salad,310,120,13,2,5,85,44,6,32,5
Salad,120,80,9,1,10,440,9,0,5,1
Salad,190,170,18,3,20,500,4,0,2,2
Salad,40,25,3,0,0,730,4,0,3,0
Salad,170,130,15,2,20,530,9,0,4,1
Salad,15,0,0,0,0,10,3,1,2,1
Sandwich,560,270,30,10,80,1010,46,3,8,25
Sandwich,520,260,29,9,80,730,41,3,8,24
Sandwich,570,290,33,11,90,960,43,3,9,27
Sandwich,310,110,12,6,40,740,35,1,7,15
Sandwich,400,140,16,3,70,1010,38,3,7,27
Sandwich,500,210,23,4,50,1090,50,3,6,24
Sandwich,460,210,23,11,80,1140,37,1,8,25
Sandwich,730,360,40,19,160,1330,46,3,9,47
Sandwich,400,160,18,4,40,640,42,1,8,14
Sandwich,260,80,9,3,30,530,33,1,7,13
Sandwich,440,210,24,4,45,920,42,1,5,14
Sandwich,420,200,22,4,45,760,41,1,5,15
Sandwich,420,160,18,7,70,730,40,3,8,24
Sandwich,510,220,25,12,95,1150,43,3,9,29
